tick,pb2_mid,nav
0,30609.0,30559.0
100,30613.0,30559.0
200,30615.0,30560.0
300,30620.5,30562.0
400,30621.0,30566.0
500,30623.5,30566.0
600,30626.0,30567.0
700,30626.5,30568.0
800,30620.5,30567.0
900,30622.5,30572.0
1000,30624.5,30573.0
1100,30620.5,30569.0
1200,30622.5,30569.0
1300,30619.5,30569.0
1400,30624.5,30573.0
1500,30622.5,30574.0
1600,30621.0,30570.0
1700,30617.5,30570.0
1800,30616.5,30570.0
1900,30612.5,30567.0
2000,30611.5,30566.0
2100,30610.5,30562.0
2200,30611.0,30562.0
2300,30607.0,30562.0
2400,30608.0,30560.0
2500,30606.0,30560.0
2600,30608.0,30561.0
2700,30610.0,30562.0
2800,30608.5,30562.0
2900,30609.5,30562.0
3000,30612.0,30562.0
3100,30613.5,30562.0
3200,30610.5,30560.0
3300,30603.0,30558.0
3400,30603.0,30558.0
3500,30610.5,30566.0
3600,30609.0,30568.0
3700,30611.5,30571.0
3800,30614.5,30570.0
3900,30617.0,30570.0
4000,30617.5,30570.0
4100,30620.5,30570.0
4200,30621.0,30568.0
4300,30619.0,30566.0
4400,30621.5,30565.0
4500,30619.0,30561.0
4600,30617.5,30560.0
4700,30612.5,30560.0
4800,30617.0,30563.0
4900,30618.0,30559.0
5000,30618.5,30563.0
5100,30620.5,30563.0
5200,30622.5,30561.0
5300,30622.5,30562.0
5400,30623.0,30560.0
5500,30623.0,30560.0
5600,30621.0,30561.0
5700,30623.0,30561.0
5800,30623.5,30559.0
5900,30625.5,30559.0
6000,30627.5,30562.0
6100,30628.0,30565.0
6200,30631.0,30566.0
6300,30633.0,30566.0
6400,30633.5,30567.0
6500,30631.0,30566.0
6600,30630.5,30566.0
6700,30632.0,30567.0
6800,30630.0,30566.0
6900,30631.5,30566.0
7000,30629.0,30565.0
7100,30627.5,30567.0
7200,30624.5,30567.0
7300,30620.5,30570.0
7400,30621.0,30569.0
7500,30615.5,30566.0
7600,30612.5,30562.0
7700,30609.0,30561.0
7800,30611.5,30560.0
7900,30614.5,30562.0
8000,30609.0,30558.0
8100,30600.5,30549.0
8200,30598.0,30546.0
8300,30594.5,30545.0
8400,30595.0,30544.0
8500,30594.0,30539.0
8600,30591.5,30538.0
8700,30594.0,30540.0
8800,30597.0,30543.0
8900,30599.5,30543.0
9000,30595.5,30542.0
9100,30597.5,30542.0
9200,30599.0,30546.0
9300,30606.0,30549.0
9400,30605.5,30551.0
9500,30611.0,30552.0
9600,30611.5,30553.0
9700,30612.5,30552.0
9800,30609.0,30550.0
9900,30606.0,30547.0
10000,30608.0,30548.0
10100,30607.5,30548.0
10200,30609.5,30548.0
10300,30605.0,30544.0
10400,30605.5,30545.0
10500,30611.0,30547.0
10600,30609.0,30546.0
10700,30611.0,30546.0
10800,30616.0,30546.0
10900,30618.5,30544.0
11000,30619.0,30547.0
11100,30619.0,30547.0
11200,30620.5,30546.0
11300,30610.5,30536.0
11400,30615.5,30541.0
11500,30613.5,30542.0
11600,30618.5,30545.0
11700,30621.5,30548.0
11800,30618.0,30548.0
11900,30615.0,30546.0
12000,30618.0,30548.0
12100,30617.5,30549.0
12200,30614.0,30549.0
12300,30608.5,30542.0
12400,30608.0,30542.0
12500,30607.0,30544.0
12600,30607.5,30545.0
12700,30606.5,30546.0
12800,30609.0,30551.0
12900,30614.0,30551.0
13000,30613.5,30551.0
13100,30614.5,30554.0
13200,30614.0,30550.0
13300,30612.0,30548.0
13400,30610.0,30548.0
13500,30615.0,30550.0
13600,30614.5,30552.0
13700,30618.5,30555.0
13800,30618.0,30555.0
13900,30620.0,30555.0
14000,30623.5,30555.0
14100,30627.5,30560.0
14200,30626.0,30559.0
14300,30627.5,30560.0
14400,30627.5,30560.0
14500,30628.0,30561.0
14600,30633.0,30562.0
14700,30633.0,30562.0
14800,30630.0,30562.0
14900,30630.0,30562.0
15000,30632.5,30562.0
15100,30630.0,30559.0
15200,30629.0,30562.0
15300,30629.0,30562.0
15400,30625.5,30561.0
15500,30625.5,30561.0
15600,30625.5,30561.0
15700,30622.5,30560.0
15800,30620.5,30560.0
15900,30622.5,30560.0
16000,30625.5,30562.0
16100,30627.0,30562.0
16200,30628.0,30562.0
16300,30630.5,30565.0
16400,30633.5,30571.0
16500,30634.5,30569.0
16600,30633.5,30567.0
16700,30632.0,30565.0
16800,30631.0,30565.0
16900,30634.5,30565.0
17000,30632.5,30566.0
17100,30634.5,30568.0
17200,30631.5,30568.0
17300,30630.0,30568.0
17400,30627.5,30565.0
17500,30633.0,30566.0
17600,30631.0,30566.0
17700,30630.0,30562.0
17800,30626.5,30562.0
17900,30628.0,30563.0
18000,30621.5,30560.0
18100,30618.0,30560.0
18200,30615.0,30558.0
18300,30613.0,30555.0
18400,30614.5,30558.0
18500,30616.0,30557.0
18600,30616.0,30558.0
18700,30617.0,30560.0
18800,30613.5,30557.0
18900,30611.0,30557.0
19000,30611.5,30556.0
19100,30614.5,30558.0
19200,30615.0,30558.0
19300,30615.5,30558.0
19400,30612.0,30553.0
19500,30616.0,30554.0
19600,30615.0,30556.0
19700,30614.5,30555.0
19800,30612.5,30554.0
19900,30612.5,30554.0
20000,30609.0,30556.0
20100,30608.0,30556.0
20200,30604.5,30556.0
20300,30602.5,30551.0
20400,30595.5,30545.0
20500,30594.5,30546.0
20600,30593.5,30545.0
20700,30593.0,30547.0
20800,30590.0,30546.0
20900,30591.5,30543.0
21000,30594.5,30544.0
21100,30595.5,30544.0
21200,30593.0,30544.0
21300,30588.0,30542.0
21400,30585.0,30543.0
21500,30584.5,30544.0
21600,30584.0,30543.0
21700,30587.5,30542.0
21800,30589.5,30542.0
21900,30588.5,30542.0
22000,30588.0,30540.0
22100,30590.5,30540.0
22200,30589.5,30540.0
22300,30591.0,30539.0
22400,30589.5,30538.0
22500,30591.5,30540.0
22600,30586.5,30538.0
22700,30591.5,30539.0
22800,30592.0,30540.0
22900,30592.5,30540.0
23000,30592.5,30540.0
23100,30592.5,30545.0
23200,30588.0,30545.0
23300,30587.5,30544.0
23400,30589.5,30544.0
23500,30589.5,30544.0
23600,30589.0,30545.0
23700,30589.5,30546.0
23800,30590.0,30546.0
23900,30592.0,30545.0
24000,30591.0,30544.0
24100,30593.0,30544.0
24200,30594.5,30544.0
24300,30594.0,30544.0
24400,30594.0,30544.0
24500,30592.5,30542.0
24600,30595.0,30544.0
24700,30598.0,30543.0
24800,30597.0,30544.0
24900,30598.5,30549.0
25000,30596.0,30548.0
25100,30598.0,30548.0
25200,30601.0,30550.0
25300,30602.0,30548.0
25400,30601.5,30546.0
25500,30602.5,30548.0
25600,30603.0,30547.0
25700,30604.0,30546.0
25800,30606.5,30547.0
25900,30613.5,30558.0
26000,30612.0,30557.0
26100,30615.0,30558.0
26200,30613.5,30558.0
26300,30616.5,30556.0
26400,30614.0,30556.0
26500,30614.5,30554.0
26600,30616.5,30556.0
26700,30616.5,30557.0
26800,30618.0,30556.0
26900,30619.0,30556.0
27000,30619.0,30558.0
27100,30620.0,30560.0
27200,30623.0,30559.0
27300,30621.5,30561.0
27400,30626.5,30562.0
27500,30631.5,30564.0
27600,30626.5,30564.0
27700,30630.0,30567.0
27800,30630.5,30567.0
27900,30630.5,30565.0
28000,30635.0,30568.0
28100,30634.5,30569.0
28200,30631.5,30569.0
28300,30628.5,30569.0
28400,30628.0,30570.0
28500,30625.0,30567.0
28600,30627.5,30566.0
28700,30629.5,30568.0
28800,30622.0,30558.0
28900,30627.5,30564.0
29000,30626.5,30562.0
29100,30625.5,30566.0
29200,30626.0,30564.0
29300,30624.5,30564.0
29400,30627.5,30571.0
