tick,spread,pb2_mid,nav,SMA_10,SMA_20,SMA_50,SMA_100
1,50.0,30609.0,30559.0,,,,
2,54.0,30613.0,30559.0,,,,
3,55.0,30615.0,30560.0,,,,
4,58.5,30620.5,30562.0,,,,
5,55.0,30621.0,30566.0,,,,
6,57.5,30623.5,30566.0,,,,
7,59.0,30626.0,30567.0,,,,
8,58.5,30626.5,30568.0,,,,
9,53.5,30620.5,30567.0,,,,
10,50.5,30622.5,30572.0,55.15,,,
11,51.5,30624.5,30573.0,55.3,,,
12,51.5,30620.5,30569.0,55.05,,,
13,53.5,30622.5,30569.0,54.9,,,
14,50.5,30619.5,30569.0,54.1,,,
15,51.5,30624.5,30573.0,53.75,,,
16,48.5,30622.5,30574.0,52.85,,,
17,51.0,30621.0,30570.0,52.05,,,
18,47.5,30617.5,30570.0,50.95,,,
19,46.5,30616.5,30570.0,50.25,,,
20,45.5,30612.5,30567.0,49.75,52.45,,
21,45.5,30611.5,30566.0,49.15,52.225,,
22,48.5,30610.5,30562.0,48.85,51.95,,
23,49.0,30611.0,30562.0,48.4,51.65,,
24,45.0,30607.0,30562.0,47.85,50.975,,
25,48.0,30608.0,30560.0,47.5,50.625,,
26,46.0,30606.0,30560.0,47.25,50.05,,
27,47.0,30608.0,30561.0,46.85,49.45,,
28,48.0,30610.0,30562.0,46.9,48.925,,
29,46.5,30608.5,30562.0,46.9,48.575,,
30,47.5,30609.5,30562.0,47.1,48.425,,
31,50.0,30612.0,30562.0,47.55,48.35,,
32,51.5,30613.5,30562.0,47.85,48.35,,
33,50.5,30610.5,30560.0,48.0,48.2,,
34,45.0,30603.0,30558.0,48.0,47.925,,
35,45.0,30603.0,30558.0,47.7,47.6,,
36,44.5,30610.5,30566.0,47.55,47.4,,
37,41.0,30609.0,30568.0,46.95,46.9,,
38,40.5,30611.5,30571.0,46.2,46.55,,
39,44.5,30614.5,30570.0,46.0,46.45,,
40,47.0,30617.0,30570.0,45.95,46.525,,
41,47.5,30617.5,30570.0,45.7,46.625,,
42,50.5,30620.5,30570.0,45.6,46.725,,
43,53.0,30621.0,30568.0,45.85,46.925,,
44,53.0,30619.0,30566.0,46.65,47.325,,
45,56.5,30621.5,30565.0,47.8,47.75,,
46,58.0,30619.0,30561.0,49.15,48.35,,
47,57.5,30617.5,30560.0,50.8,48.875,,
48,52.5,30612.5,30560.0,52.0,49.1,,
49,54.0,30617.0,30563.0,52.95,49.475,,
50,59.0,30618.0,30559.0,54.15,50.05,50.42,
51,55.5,30618.5,30563.0,54.95,50.325,50.53,
52,57.5,30620.5,30563.0,55.65,50.625,50.6,
53,61.5,30622.5,30561.0,56.5,51.175,50.73,
54,60.5,30622.5,30562.0,57.25,51.95,50.77,
55,63.0,30623.0,30560.0,57.9,52.85,50.93,
56,63.0,30623.0,30560.0,58.4,53.775,51.04,
57,60.0,30621.0,30561.0,58.65,54.725,51.06,
58,62.0,30623.0,30561.0,59.6,55.8,51.13,
59,64.5,30623.5,30559.0,60.65,56.8,51.35,
60,66.5,30625.5,30559.0,61.4,57.775,51.67,
61,65.5,30627.5,30562.0,62.4,58.675,51.95,
62,63.0,30628.0,30565.0,62.95,59.3,52.18,
