tick,spread
0,50.0
100,54.0
200,55.0
300,58.5
400,55.0
500,57.5
600,59.0
700,58.5
800,53.5
900,50.5
1000,51.5
1100,51.5
1200,53.5
1300,50.5
1400,51.5
1500,48.5
1600,51.0
1700,47.5
1800,46.5
1900,45.5
2000,45.5
2100,48.5
2200,49.0
2300,45.0
2400,48.0
2500,46.0
2600,47.0
2700,48.0
2800,46.5
2900,47.5
3000,50.0
3100,51.5
3200,50.5
3300,45.0
3400,45.0
3500,44.5
3600,41.0
3700,40.5
3800,44.5
3900,47.0
4000,47.5
4100,50.5
4200,53.0
4300,53.0
4400,56.5
4500,58.0
4600,57.5
4700,52.5
4800,54.0
4900,59.0
5000,55.5
5100,57.5
5200,61.5
5300,60.5
5400,63.0
5500,63.0
5600,60.0
5700,62.0
5800,64.5
5900,66.5
6000,65.5
6100,63.0
6200,65.0
6300,67.0
6400,66.5
6500,65.0
6600,64.5
6700,65.0
6800,64.0
6900,65.5
7000,64.0
7100,60.5
7200,57.5
7300,50.5
7400,52.0
7500,49.5
7600,50.5
7700,48.0
7800,51.5
7900,52.5
8000,51.0
8100,51.5
8200,52.0
8300,49.5
8400,51.0
8500,55.0
8600,53.5
8700,54.0
8800,54.0
8900,56.5
9000,53.5
9100,55.5
9200,53.0
9300,57.0
9400,54.5
9500,59.0
9600,58.5
9700,60.5
9800,59.0
9900,59.0
10000,60.0
10100,59.5
10200,61.5
10300,61.0
10400,60.5
10500,64.0
10600,63.0
10700,65.0
10800,70.0
10900,74.5
11000,72.0
11100,72.0
11200,74.5
11300,74.5
11400,74.5
11500,71.5
11600,73.5
11700,73.5
11800,70.0
11900,69.0
12000,70.0
12100,68.5
12200,65.0
12300,66.5
12400,66.0
12500,63.0
12600,62.5
12700,60.5
12800,58.0
12900,63.0
13000,62.5
13100,60.5
13200,64.0
13300,64.0
13400,62.0
13500,65.0
13600,62.5
13700,63.5
13800,63.0
13900,65.0
14000,68.5
14100,67.5
14200,67.0
14300,67.5
14400,67.5
14500,67.0
14600,71.0
14700,71.0
14800,68.0
14900,68.0
15000,70.5
15100,71.0
15200,67.0
15300,67.0
15400,64.5
15500,64.5
15600,64.5
15700,62.5
15800,60.5
15900,62.5
16000,63.5
16100,65.0
16200,66.0
16300,65.5
16400,62.5
16500,65.5
16600,66.5
16700,67.0
16800,66.0
16900,69.5
17000,66.5
17100,66.5
17200,63.5
17300,62.0
17400,62.5
17500,67.0
17600,65.0
17700,68.0
17800,64.5
17900,65.0
18000,61.5
18100,58.0
18200,57.0
18300,58.0
18400,56.5
18500,59.0
18600,58.0
18700,57.0
18800,56.5
18900,54.0
19000,55.5
19100,56.5
19200,57.0
19300,57.5
19400,59.0
19500,62.0
19600,59.0
19700,59.5
19800,58.5
19900,58.5
20000,53.0
20100,52.0
20200,48.5
20300,51.5
20400,50.5
20500,48.5
20600,48.5
20700,46.0
20800,44.0
20900,48.5
21000,50.5
21100,51.5
21200,49.0
21300,46.0
21400,42.0
21500,40.5
21600,41.0
21700,45.5
21800,47.5
21900,46.5
22000,48.0
22100,50.5
22200,49.5
22300,52.0
22400,51.5
22500,51.5
22600,48.5
22700,52.5
22800,52.0
22900,52.5
23000,52.5
23100,47.5
23200,43.0
23300,43.5
23400,45.5
23500,45.5
23600,44.0
23700,43.5
23800,44.0
23900,47.0
24000,47.0
24100,49.0
24200,50.5
24300,50.0
24400,50.0
24500,50.5
24600,51.0
24700,55.0
24800,53.0
24900,49.5
25000,48.0
25100,50.0
25200,51.0
25300,54.0
25400,55.5
25500,54.5
25600,56.0
25700,58.0
25800,59.5
25900,55.5
26000,55.0
26100,57.0
26200,55.5
26300,60.5
26400,58.0
26500,60.5
26600,60.5
26700,59.5
26800,62.0
26900,63.0
27000,61.0
27100,60.0
27200,64.0
27300,60.5
27400,64.5
27500,67.5
27600,62.5
27700,63.0
27800,63.5
27900,65.5
28000,67.0
28100,65.5
28200,62.5
28300,59.5
28400,58.0
28500,58.0
28600,61.5
28700,61.5
28800,64.0
28900,63.5
29000,64.5
29100,59.5
29200,62.0
29300,60.5
29400,56.5
29500,61.5
29600,61.5
29700,60.5
29800,61.0
29900,61.0
30000,60.5
30100,64.0
30200,62.5
30300,63.5
